Track URI,Track Name,Artist Name(s),Album Name,Genres,Tempo,Energy,Valence,Danceability,Duration (ms),Source
spotify:track:6aIOfv9A3FZtQjMjyWNiJJ,Levantando las Manos,El Simbolo,Éxitos,merengue,96.584,0.941,0.941,0.679,265520,"Pachangueo_80,_90_y_00"
spotify:track:2eDdFHgqNJltzlvlZFVDWd,Over the Hills and Far Away - Remaster,Led Zeppelin,Houses of the Holy (Remaster),"rock clásico,rock,hard rock,rock and roll",96.95,0.691,0.206,0.402,290933,Rock_Classics
spotify:track:3LlmKSHR3Rs0Y3KHQLAYDk,Alone,Alan Walker,Different World,,97.021,0.914,0.183,0.673,160426,Radio_Imagine_Dragons
spotify:track:3UaQ7rPrZt60bUyegxsedg,Que El Ritmo No Pare,Patricia Manterola,Que El Ritmo No Pare,,97.031,0.952,0.622,0.713,226693,"Pachangueo_80,_90_y_00"
spotify:track:5OaqffbeQyVVqtnA71Ci7K,Por la Raja de Tu Falda,Estopa,Estopa,"flamenco,flamenco pop",97.518,0.722,0.928,0.759,202826,"Pachangueo_80,_90_y_00"
spotify:track:2JhJOPGvtqMpj5RQC8cIYf,Perfect Strangers,Deep Purple,Perfect Strangers,"hard rock,rock clásico,rock",97.578,0.721,0.611,0.521,328426,Pure_Rock_&_Roll
spotify:track:7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,Second Helping (Expanded Edition),"rock sureño,rock clásico,rock",97.785,0.606,0.886,0.596,283800,Mix_de_rock
spotify:track:3ErsOxqe2RmXkR65wkygDz,What's Love Got to Do with It - 2015 Remaster,Tina Turner,Private Dancer (30th Anniversary Issue),,97.792,0.482,0.795,0.855,230240,Radio_Black_or_White
spotify:track:4n43gABaScqvSEiM8i0kkW,Devuelveme La Vida,Bustamante,Caricias Al Alma,,97.998,0.902,0.853,0.812,231933,"Pachangueo_80,_90_y_00"
spotify:track:1HvCFAUIWQsWV9zud3UhDl,All Falls Down (feat. Juliander),Alan Walker;Noah Cyrus;Digital Farm Animals;Juliander,Different World,pop sueco,98.005,0.672,0.675,0.655,198880,This_Is_Alan_Walker
spotify:track:2e7s0oEzUoJtDSPtYJuVvD,Lean On (feat. MØ & DJ Snake),Major Lazer;MØ;DJ Snake,Peace Is the Mission,moombahton,98.007,0.809,0.274,0.723,176561,Radio_Imagine_Dragons
spotify:track:6EBlOYNcZ8MrdEov9lEdV6,Hold The Line (feat. A R I Z O N A),Avicii;A R I Z O N A,TIM,edm,98.045,0.554,0.372,0.648,171785,This_Is_Avicii
